id,conf,image_coords,ripeness,is_ripe,approach_ang,camera_coords,arm_coords,harvest_order
T01,0.95927876,"[321, 194]",0.658974358974359,True,0,"[-8.0, -69.0, 633.0]","[-8.0, 811.0, 179.0]",1
T02,0.8040159,"[406, 248]",0.9512820512820512,True,0,"[63.0, 5.0, 345.0]","[63.0, 523.0, 105.0]",2
