id,conf,image_coords,ripeness,is_ripe,approach_ang,camera_coords,arm_coords,harvest_order
T01,0.94684976,"[438, 279]",0.10000000000000009,True,0,"[80.0, 27.0, 312.0]","[80.0, 490.0, 94.0]",1
T02,0.84246665,"[165, 104]",0.20000000000000007,True,0,"[-124.0, -106.0, 330.0]","[-124.0, 508.0, 227.0]",2
