id,conf,image_coords,ripeness,is_ripe,approach_ang,camera_coords,arm_coords,harvest_order
T01,0.9254853,"[319, 51]",0.0,True,0,"[-41.0, -1018.0, 2302.0]","[-41.0, 2480.0, 1118.0]",1
T02,0.9086372,"[232, 249]",0.7076923076923076,True,0,"[-207.0, 17.0, 946.0]","[-207.0, 1124.0, 83.0]",2
T03,0.9047551,"[384, 258]",0.9756410256410256,True,0,"[42.0, 12.0, 320.0]","[42.0, 498.0, 88.0]",3
T04,0.8664594,"[255, 204]",0.8051282051282052,True,0,"[-144.0, -75.0, 873.0]","[-144.0, 1051.0, 175.0]",4
T05,0.82452786,"[232, 413]",0.7564102564102564,True,0,"[-169.0, 307.0, 766.0]","[-169.0, 944.0, -207.0]",5
